COM_CODE;COM_NOM;AUC_NOM;geolocalisation
38029;La Bâtie-Montgascon;Lyon;45.575472151, 5.54225415
38031;Beaufin;Beaufin;44.787010753, 5.959065924
38052;Le Bourg-d'Oisans;Le Bourg-d'Oisans;45.027600374, 6.057662306
38057;Bresson;Grenoble;45.133467078, 5.750971271
38058;Brézins;Grenoble;45.345189216, 5.307915528
38059;Brié-et-Angonnes;Grenoble;45.122913512, 5.778725138
38115;Saint-Martin-de-la-Cluze;Grenoble;44.989743744, 5.661433267
38121;Commelle;SO;45.434774646, 5.231819204
38192;Hurtières;Grenoble;45.28682511, 5.968099673
38198;Jarcieu;Jarcieu;45.335427257, 4.9494848
38224;Mayres-Savel;Mayres-Savel;44.886742343, 5.710971322
38004;L'Albenc;Saint-Marcellin;45.218480217, 5.458684063
38011;Anthon;Lyon;45.784746058, 5.154341218
38014;Arandon;SO;45.717290455, 5.444923613
38051;Bougé-Chambalud;Bougé-Chambalud;45.319795541, 4.892342752
38060;Brion;Grenoble;45.292170374, 5.340132485
38081;Charantonnay;Lyon;45.538513271, 5.115837443
38090;Château-Bernard;Grenoble;44.981684344, 5.564156606
38119;Colombier-saugnieu;SO;nan
38173;Le Freney-d'Oisans;Le Freney-d'Oisans;45.07839939, 6.122756247
38201;Jonage;SO;nan
38220;Marennes;SO;nan
38227;Mépieu;SO;nan
38257;Montrevel;Lyon;45.477087614, 5.407297015
38313;Ponsonnas;La Mure;44.889169717, 5.798476595
38358;Sainte-Anne-sur-Gervonde;Lyon;45.499816928, 5.23316521
38432;Saint-Nicolas-de-Macherin;Grenoble;45.406770644, 5.615397179
38484;Serpaize;Vienne;45.557148975, 4.919506039
38501;Tencin;Grenoble;45.31145701, 5.958832077
38547;Villard-Bonnot;Grenoble;45.245375823, 5.889017865
38556;Ville-sous-Anjou;Vienne;45.376405552, 4.858111784
38559;Vinay;Saint-Marcellin;45.214748583, 5.407851649
38566;Vourey;Grenoble;45.316945467, 5.522298939
38230;Meyrié;Lyon;45.560338258, 5.285122597
38233;Meyzieu;SO;nan
38251;Montceau;SO;nan
38283;Oris-en-Rattier;Oris-en-Rattier;44.933714882, 5.885523173
38322;Presles;Presles;45.092917908, 5.405691567
38343;Romagnieu;Romagnieu;45.561969901, 5.640342772
38396;Saint-Honoré;Saint-Honoré;44.958265906, 5.820376534
38398;Saint-Jean-d'Avelanne;Saint-Jean-d'Avelanne;45.507836938, 5.667672601
38452;Saint-Romain-de-Surieu;Vienne;45.389477878, 4.889189334
38470;La Salle-en-Beaumont;La Salle-en-Beaumont;44.85955735, 5.861257798
38512;Tramolé;Lyon;45.514063457, 5.268033286
38517;Tullins;Grenoble;45.29378374, 5.490509764
38520;Valencogne;Valencogne;45.491718433, 5.531583072
38537;La Verpillière;Lyon;45.637588327, 5.148427724
38456;Châtel-en-Trièves;Saint-Sébastien;44.848335112, 5.803907809
38105;Chirens;Grenoble;45.415995733, 5.556206417
38116;Cognet;La Mure;44.881831771, 5.776494088
38177;La Garde;La Garde;45.068539241, 6.055097559
38196;Jallieu;SO;nan
38248;Montaud;Grenoble;45.260242997, 5.561960104
38267;Mottier;Grenoble;45.42282042, 5.308504227
38298;Le Péage-de-Roussillon;Vienne;45.36841695, 4.783156514
38377;Saint-Clair-de-la-Tour;Lyon;45.570974774, 5.488719268
38388;Saint-Georges-de-Commiers;Grenoble;45.036140908, 5.718685005
38400;Saint-Jean-de-Moirans;Grenoble;45.336996361, 5.587159691
38416;Saint-Marcellin;Saint-Marcellin;45.152698449, 5.317792233
38450;Saint-Quentin-sur-Isère;Grenoble;45.277591768, 5.548012637
38495;La Sône;Saint-Marcellin;45.117113189, 5.280570925
38498;Succieu;Lyon;45.530010744, 5.342411909
38033;Beaulieu;Saint-Marcellin;45.191191667, 5.397089133
38099;Chevrières;Saint-Marcellin;45.191752131, 5.293180998
38122;Communay;SO;nan
38127;Cornillon-en-Trièves;Grenoble;44.8350868, 5.704017797
38147;Doissin;Lyon;45.501452069, 5.42872311
